"LOJA","DATA","PRECO_COMBUSTIVEL","IPC","TAXA_DESEMPREGO","EVENTO "
"1","2/5/2010","2,572","2,110,963,582","8,106","False"
"1","2/12/2010","2,548","21,124,216,980,000,000","8,106","True"
"1","2/19/2010","25,140,000,000,000,000","2,112,891,429","8,106","False"
"1","2/26/2010","25,610,000,000,000,000","2,113,196,429","8,106","False"
"1","3/5/2010","2,625","2,113,501,429","8,106","False"
"1","3/12/2010","2,667","2,113,806,429","8,106","False"
"1","3/19/2010","2.72","21,121,563,500,000,000","8,106","False"
"1","3/26/2010","27,319,999,999,999,900","2,110,180,424","8,106","False"
"1","4/2/2010","2,719","21,082,044,989,999,900","7,808","False"
"1","4/9/2010","2.77","21,062,285,740,000,000","7,808","False"
"1","4/16/2010","28,080,000,000,000,000","2,104,887","7,808","False"
"1","4/23/2010","2,795","2,104,391,228","7,808","False"
"1","4/30/2010","2.78","2,103,895,456","7,808","False"
"1","5/7/2010","2,835","21,033,996,839,999,900","7,808","False"
"1","5/14/2010","28,539,999,999,999,900","2,103,374,261","7,808","False"
"1","5/21/2010","2,826","2,106,170,934","7,808","False"
"1","5/28/2010","2,759","21,089,676,060,000,000","7,808","False"
"1","6/4/2010","2,705","2,111,764,278","7,808","False"
"1","6/11/2010","2,668","2,114,560,951","7,808","False"
"1","6/18/2010","2,637","2,114,537,719","7,808","False"
"1","6/25/2010","2,653","21,133,865,260,000,000","7,808","False"
"1","7/2/2010","26,689,999,999,999,900","2,112,235,333","7,787,000,000,000,000","False"
"1","7/9/2010","2,642","211,108,414","7,787,000,000,000,000","False"
"1","7/16/2010","2,623","21,110,038,540,000,000","7,787,000,000,000,000","False"
"1","7/23/2010","2,608","2,112,351,443","7,787,000,000,000,000","False"
"1","7/30/2010","2.64","21,136,990,319,999,900","7,787,000,000,000,000","False"
"1","8/6/2010","2,627","2,115,046,621","7,787,000,000,000,000","False"
"1","8/13/2010","26,919,999,999,999,900","21,163,942,110,000,000","7,787,000,000,000,000","False"
"1","8/20/2010","26,639,999,999,999,900","21,160,336,329,999,900","7,787,000,000,000,000","False"
"1","8/27/2010","26,189,999,999,999,900","2,115,673,056","7,787,000,000,000,000","False"
